Returned,Order ID,Return Date
Yes,US-2014-150574,04/01/15
Yes,CA-2014-152345,10/01/15
Yes,CA-2014-110786,17/01/15
Yes,CA-2015-146262,17/01/15
Yes,CA-2015-154970,20/01/15
Yes,CA-2015-149636,20/01/15
Yes,CA-2015-119214,05/02/15
Yes,CA-2015-151547,07/02/15
Yes,CA-2015-132374,02/03/15
Yes,CA-2015-116092,04/03/15
Yes,CA-2015-104129,08/03/15
Yes,CA-2015-146255,18/03/15
Yes,CA-2015-157812,08/04/15
Yes,US-2015-136987,24/04/15
Yes,CA-2015-134201,30/04/15
Yes,CA-2015-142601,01/05/15
Yes,CA-2015-149342,02/05/15
Yes,CA-2015-107678,08/05/15
Yes,CA-2015-143602,11/05/15
Yes,CA-2015-103716,18/05/15
Yes,CA-2015-150770,18/05/15
Yes,US-2015-160857,26/05/15
Yes,CA-2015-132941,04/06/15
Yes,US-2015-110569,11/06/15
Yes,CA-2015-112144,11/07/15
Yes,CA-2015-161627,18/07/15
Yes,CA-2015-168564,18/08/15
Yes,US-2015-128090,31/08/15
Yes,CA-2015-130456,02/09/15
Yes,CA-2015-144267,05/09/15
Yes,CA-2015-130785,17/09/15
Yes,CA-2015-105158,20/09/15
Yes,CA-2015-143238,20/09/15
Yes,CA-2015-162166,20/09/15
Yes,CA-2015-140984,28/09/15
Yes,CA-2015-148873,10/10/15
Yes,CA-2015-168480,11/10/15
Yes,US-2015-137008,18/10/15
Yes,CA-2015-109736,24/10/15
Yes,CA-2015-139731,26/10/15
Yes,CA-2015-149650,06/11/15
Yes,CA-2015-164882,15/11/15
Yes,CA-2015-146486,19/11/15
Yes,CA-2015-111948,21/11/15
Yes,CA-2015-123568,22/11/15
Yes,CA-2015-153220,24/11/15
Yes,CA-2015-138674,25/11/15
Yes,CA-2015-113628,29/11/15
Yes,CA-2015-124058,04/12/15
Yes,CA-2015-150875,04/12/15
Yes,CA-2015-156440,17/12/15
Yes,CA-2015-101910,17/12/15
Yes,CA-2015-155761,18/12/15
Yes,CA-2015-143490,18/12/15
Yes,CA-2015-119907,19/12/15
Yes,CA-2015-110814,20/12/15
Yes,CA-2015-157770,25/12/15
Yes,CA-2015-141593,26/12/15
Yes,CA-2015-134075,29/12/15
Yes,CA-2015-114048,30/12/15
