Returned,Order ID,Return Date
Yes,CA-2014-148614,04/02/14
Yes,CA-2014-103744,06/03/14
Yes,US-2014-164763,27/03/14
Yes,CA-2014-111871,30/03/14
Yes,CA-2014-102652,24/04/14
Yes,CA-2014-116785,06/05/14
Yes,CA-2014-103373,01/06/14
Yes,CA-2014-156349,05/06/14
Yes,CA-2014-143840,07/06/14
Yes,CA-2014-108861,12/06/14
Yes,CA-2014-135657,12/06/14
Yes,CA-2014-159338,10/07/14
Yes,CA-2014-153150,13/07/14
Yes,CA-2014-160773,14/07/14
Yes,CA-2014-123225,20/07/14
Yes,US-2014-138758,26/07/14
Yes,CA-2014-141726,27/07/14
Yes,CA-2014-169019,10/08/14
Yes,CA-2014-133690,13/08/14
Yes,CA-2014-126361,18/08/14
Yes,CA-2014-127012,20/08/14
Yes,US-2014-164406,30/08/14
Yes,CA-2014-123253,07/09/14
Yes,CA-2014-124688,09/09/14
Yes,CA-2014-135699,10/09/14
Yes,CA-2014-126522,14/09/14
Yes,CA-2014-143336,14/09/14
Yes,CA-2014-126403,17/09/14
Yes,CA-2014-142769,23/09/14
Yes,CA-2014-109918,26/09/14
Yes,CA-2014-160766,27/09/14
Yes,CA-2014-103940,29/09/14
Yes,CA-2014-166744,04/10/14
Yes,CA-2014-157924,23/10/14
Yes,US-2014-105137,25/10/14
Yes,CA-2014-100867,04/11/14
Yes,CA-2014-108609,11/11/14
Yes,CA-2014-134726,17/11/14
Yes,CA-2014-123498,21/11/14
Yes,CA-2014-105270,24/11/14
Yes,US-2014-143287,24/11/14
Yes,CA-2014-104829,27/11/14
Yes,CA-2014-164721,03/12/14
Yes,CA-2014-100762,07/12/14
Yes,CA-2014-164861,12/12/14
Yes,CA-2014-127131,14/12/14
Yes,CA-2014-151162,22/12/14
Yes,US-2014-140452,23/12/14
Yes,CA-2014-140816,26/12/14
Yes,CA-2014-148950,29/12/14
